"NAME","month_report","yr_report","LOCATION","count","type","month"
"Data Governance","Jan",2015,"Kilifi",10,"open",1
"Data Governance","Feb",2015,"Kilifi",8,"open",2
"Data Governance","Mar",2015,"Kilifi",5,"open",3
"Data Governance","Apr",2015,"Kilifi",3,"open",4
"Data Governance","Apr",2015,"Mtwapa",1,"open",4
"Data Governance","May",2015,"Kilifi",3,"open",5
"Data Governance","Jul",2015,"Kilifi",4,"open",7
"Data Governance","Aug",2015,"Kilifi",1,"open",8
"Data Governance","Sep",2015,"Kilifi",1,"open",9
"Desktop Support","Jan",2015,"Kilifi",161,"open",1
"Desktop Support","Jan",2015,"Mtwapa",2,"open",1
"Desktop Support","Jan",2015,"Nairobi",20,"open",1
"Desktop Support","Feb",2015,"Kilifi",122,"open",2
"Desktop Support","Feb",2015,"Mtwapa",3,"open",2
"Desktop Support","Feb",2015,"Nairobi",19,"open",2
"Desktop Support","Mar",2015,"Kilifi",147,"open",3
"Desktop Support","Mar",2015,"Mtwapa",1,"open",3
"Desktop Support","Mar",2015,"Nairobi",27,"open",3
"Desktop Support","Apr",2015,"Kilifi",135,"open",4
"Desktop Support","Apr",2015,"Nairobi",24,"open",4
"Desktop Support","May",2015,"Kilifi",128,"open",5
"Desktop Support","May",2015,"Nairobi",10,"open",5
"Desktop Support","Jun",2015,"Kilifi",129,"open",6
"Desktop Support","Jun",2015,"Nairobi",18,"open",6
"Desktop Support","Jul",2015,"Kilifi",112,"open",7
"Desktop Support","Jul",2015,"Mtwapa",1,"open",7
"Desktop Support","Jul",2015,"Nairobi",6,"open",7
"Desktop Support","Aug",2015,"Kilifi",78,"open",8
"Desktop Support","Aug",2015,"Nairobi",17,"open",8
"Desktop Support","Sep",2015,"Kilifi",54,"open",9
"Desktop Support","Sep",2015,"Nairobi",12,"open",9
"Development","Jan",2015,"Kilifi",25,"open",1
"Development","Jan",2015,"Mtwapa",2,"open",1
"Development","Feb",2015,"Kilifi",18,"open",2
"Development","Feb",2015,"Mtwapa",2,"open",2
"Development","Mar",2015,"Kilifi",15,"open",3
"Development","Apr",2015,"Kilifi",21,"open",4
"Development","May",2015,"Kilifi",8,"open",5
"Development","Jun",2015,"Kilifi",15,"open",6
"Development","Jul",2015,"Kilifi",11,"open",7
"Development","Aug",2015,"Kilifi",2,"open",8
"Development","Sep",2015,"Kilifi",4,"open",9
"Development","Sep",2015,"Mtwapa",1,"open",9
"HRMIS","Jun",2015,"Kilifi",1,"open",6
"HRMIS","Jul",2015,"Kilifi",24,"open",7
"HRMIS","Jul",2015,"Nairobi",7,"open",7
"HRMIS","Aug",2015,"Kilifi",2,"open",8
"HRMIS","Aug",2015,"Nairobi",3,"open",8
"HRMIS","Sep",2015,"Kilifi",5,"open",9
"HRMIS","Sep",2015,"Nairobi",2,"open",9
"Information Services","Jan",2015,"Kilifi",18,"open",1
"Information Services","Jan",2015,"Nairobi",3,"open",1
"Information Services","Feb",2015,"Kilifi",26,"open",2
"Information Services","Feb",2015,"Nairobi",3,"open",2
"Information Services","Mar",2015,"Kilifi",39,"open",3
"Information Services","Mar",2015,"Mtwapa",1,"open",3
"Information Services","Mar",2015,"Nairobi",5,"open",3
"Information Services","Apr",2015,"Kilifi",16,"open",4
"Information Services","Apr",2015,"Nairobi",3,"open",4
"Information Services","May",2015,"Kilifi",18,"open",5
"Information Services","Jun",2015,"Kilifi",18,"open",6
