LOCATION_ID,LOCATION_NAME,NAME,job_ticket_id,REPORT_DATE,CLOSE_DATE
1,Kilifi,Desktop Support,1,12/10/2012,03/05/2013
1,Kilifi,Desktop Support,5,12/10/2012,03/05/2013
1,Kilifi,Desktop Support,6,12/10/2012,03/05/2013
1,Kilifi,Desktop Support,38,06/01/2010,29/11/2012
1,Kilifi,Desktop Support,113,05/01/2010,29/11/2012
1,Kilifi,Desktop Support,139,05/12/2012,NULL
1,Kilifi,Desktop Support,147,14/01/2013,03/05/2013
1,Kilifi,Desktop Support,158,22/01/2013,29/01/2013
1,Kilifi,Desktop Support,180,25/01/2013,03/06/2014
1,Kilifi,Desktop Support,184,25/01/2013,28/02/2013
2,Nairobi,Desktop Support,192,28/01/2013,28/02/2013
1,Kilifi,Desktop Support,194,28/01/2013,28/02/2013
1,Kilifi,Desktop Support,205,30/01/2013,28/02/2013
1,Kilifi,Desktop Support,213,02/02/2013,28/02/2013
1,Kilifi,Desktop Support,214,04/02/2013,04/04/2013
2,Nairobi,Desktop Support,220,04/02/2013,28/02/2013
2,Nairobi,Desktop Support,222,05/02/2013,28/02/2013
2,Nairobi,Desktop Support,224,05/02/2013,28/02/2013
2,Nairobi,Desktop Support,225,05/02/2013,28/02/2013
2,Nairobi,Desktop Support,227,05/02/2013,28/02/2013
1,Kilifi,Desktop Support,233,05/02/2013,04/03/2013
1,Kilifi,Desktop Support,243,06/02/2013,13/02/2013
1,Kilifi,Desktop Support,244,06/02/2013,03/05/2013
2,Nairobi,Desktop Support,251,06/02/2013,28/02/2013
1,Kilifi,Desktop Support,257,07/02/2013,28/02/2013
1,Kilifi,Desktop Support,264,08/02/2013,25/03/2013
1,Kilifi,Desktop Support,290,13/02/2013,03/05/2013
1,Kilifi,Desktop Support,291,13/02/2013,03/05/2013
1,Kilifi,Desktop Support,293,13/02/2013,19/02/2013
1,Kilifi,Desktop Support,294,13/02/2013,03/05/2013
1,Kilifi,Desktop Support,302,14/02/2013,03/05/2013
1,Kilifi,Desktop Support,312,15/02/2013,28/02/2013
1,Kilifi,Desktop Support,320,18/02/2013,19/02/2013
2,Nairobi,Desktop Support,329,19/02/2013,28/02/2013
1,Kilifi,Desktop Support,336,20/02/2013,25/02/2013
1,Kilifi,Desktop Support,338,20/02/2013,28/02/2013
1,Kilifi,Desktop Support,350,21/02/2013,22/02/2013
1,Kilifi,Desktop Support,351,21/02/2013,28/02/2013
1,Kilifi,Desktop Support,356,22/02/2013,11/03/2013
1,Kilifi,Desktop Support,362,22/02/2013,03/05/2013
1,Kilifi,Desktop Support,364,22/02/2013,28/05/2013
1,Kilifi,Desktop Support,368,25/02/2013,26/02/2013
1,Kilifi,Desktop Support,405,11/03/2013,20/03/2013
2,Nairobi,Desktop Support,417,13/03/2013,15/03/2013
2,Nairobi,Desktop Support,418,13/03/2013,15/03/2013
1,Kilifi,Desktop Support,421,14/03/2013,04/04/2013
1,Kilifi,Desktop Support,483,22/03/2013,25/04/2014
1,Kilifi,Desktop Support,485,22/03/2013,28/05/2013
1,Kilifi,Desktop Support,499,26/03/2013,17/04/2013
1,Kilifi,Desktop Support,516,27/03/2013,28/05/2013
1,Kilifi,Desktop Support,531,03/04/2013,11/06/2013
1,Kilifi,Desktop Support,552,04/04/2013,05/04/2013
2,Nairobi,Desktop Support,555,05/04/2013,05/04/2013
2,Nairobi,Desktop Support,557,05/04/2013,05/04/2013
2,Nairobi,Desktop Support,573,10/04/2013,10/04/2013
2,Nairobi,Desktop Support,575,10/04/2013,10/04/2013
2,Nairobi,Desktop Support,576,10/04/2013,10/04/2013
2,Nairobi,Desktop Support,579,10/04/2013,10/04/2013
1,Kilifi,Desktop Support,587,12/04/2013,05/06/2013
2,Nairobi,Desktop Support,598,15/04/2013,22/04/2013
2,Nairobi,Desktop Support,614,16/04/2013,16/04/2013
1,Kilifi,Desktop Support,618,16/04/2013,28/05/2013
2,Nairobi,Desktop Support,640,22/04/2013,22/04/2013
2,Nairobi,Desktop Support,643,22/04/2013,22/04/2013
2,Nairobi,Desktop Support,655,25/04/2013,25/04/2013
2,Nairobi,Desktop Support,659,26/04/2013,26/04/2013
1,Kilifi,Desktop Support,662,26/04/2013,04/06/2013
1,Kilifi,Desktop Support,674,30/04/2013,16/05/2013
1,Kilifi,Desktop Support,687,02/05/2013,28/05/2013
2,Nairobi,Desktop Support,689,02/05/2013,02/05/2013
1,Kilifi,Desktop Support,696,03/05/2013,06/05/2013
1,Kilifi,Desktop Support,709,06/05/2013,07/05/2013
1,Kilifi,Desktop Support,714,06/05/2013,25/06/2013
1,Kilifi,Desktop Support,720,06/05/2013,08/05/2013
1,Kilifi,Desktop Support,727,06/05/2013,08/05/2013
1,Kilifi,Desktop Support,735,07/05/2013,15/05/2013
1,Kilifi,Desktop Support,751,08/05/2013,07/06/2013
1,Kilifi,Desktop Support,755,08/05/2013,28/05/2013
1,Kilifi,Desktop Support,760,09/05/2013,29/05/2013
1,Kilifi,Desktop Support,762,09/05/2013,17/06/2013
1,Kilifi,Desktop Support,764,09/05/2013,20/05/2013
1,Kilifi,Desktop Support,776,10/05/2013,18/06/2013
1,Kilifi,Desktop Support,779,10/05/2013,28/05/2013
1,Kilifi,Desktop Support,789,13/05/2013,23/05/2013
1,Kilifi,Desktop Support,790,13/05/2013,28/05/2013
1,Kilifi,Desktop Support,796,13/05/2013,27/05/2013
1,Kilifi,Desktop Support,800,13/05/2013,14/05/2013
1,Kilifi,Desktop Support,806,14/05/2013,27/05/2013
1,Kilifi,Desktop Support,821,14/05/2013,01/07/2013
1,Kilifi,Desktop Support,828,15/05/2013,25/06/2013
1,Kilifi,Desktop Support,838,16/05/2013,23/05/2013
1,Kilifi,Desktop Support,844,16/05/2013,04/06/2013
2,Nairobi,Desktop Support,848,16/05/2013,16/05/2013
1,Kilifi,Desktop Support,851,16/05/2013,04/06/2013
1,Kilifi,Desktop Support,852,16/05/2013,23/05/2013
1,Kilifi,Desktop Support,854,16/05/2013,20/05/2013
1,Kilifi,Desktop Support,860,17/05/2013,17/05/2013
1,Kilifi,Desktop Support,869,17/05/2013,29/05/2013
1,Kilifi,Desktop Support,873,18/05/2013,17/06/2013
1,Kilifi,Desktop Support,874,20/05/2013,20/05/2013
1,Kilifi,Desktop Support,880,20/05/2013,07/06/2013
1,Kilifi,Desktop Support,886,20/05/2013,22/05/2013
1,Kilifi,Desktop Support,890,21/05/2013,24/05/2013
1,Kilifi,Desktop Support,891,21/05/2013,21/05/2013
1,Kilifi,Desktop Support,895,21/05/2013,27/05/2013
2,Nairobi,Desktop Support,896,21/05/2013,21/05/2013
1,Kilifi,Desktop Support,909,22/05/2013,22/05/2013
1,Kilifi,Desktop Support,919,22/05/2013,27/05/2013
1,Kilifi,Desktop Support,928,23/05/2013,24/05/2013
1,Kilifi,Desktop Support,952,24/05/2013,03/06/2013
1,Kilifi,Desktop Support,956,27/05/2013,30/05/2013
1,Kilifi,Desktop Support,960,27/05/2013,03/06/2013
1,Kilifi,Desktop Support,1000,28/05/2013,06/06/2013
1,Kilifi,Desktop Support,1006,29/05/2013,06/06/2013
